"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords","Publisher","Language of Original Document","Document Type","Publication Stage","Source"
"Li S.; Zhang Q.; Huang Z.; Chen F.","Li, Shifu (57344445800); Zhang, Qian (57804549400); Huang, Zheng (55494598200); Chen, Fenghua (57209804050)","57344445800; 57804549400; 55494598200; 57209804050","Integrative analysis of multi-omics data to identify three immune-related genes in the formation and progression of intracranial aneurysms","2023","Inflammation Research","72","5","","1001","1019","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151510364&doi=10.1007%2fs00011-023-01725-z&partnerID=40&md5=81e85b76ac9eedc8dfac5964725e2a52","Objective and design: The prevalence of intracranial aneurysms (IAs) has increased globally. We performed bioinformatics analysis to identify key biomarkers associated with IA formation. Methods and results: We conducted a comprehensive analysis combined with multi-omics data and methods to identify immune-related genes (IRGs) and immunocytes involved in IAs. Functional enrichment analyses showed enhanced immune responses and suppressed organizations of extracellular matrix (ECM) during aneurysm progression. xCell analyses showed that the abundance of B cells, macrophages, mast cells, and monocytes significantly increased from levels in control to unruptured aneurysms and to ruptured aneurysms. Of 21 IRGs identified by overlapping, a three-gene (CXCR4, S100B, and OSM) model was constructed through LASSO logistic regression. The diagnostic ability of the three biomarkers in discriminating aneurysms from the control samples demonstrated a favorable diagnostic value. Among the three genes, OSM and CXCR4 were up-regulated and hypomethylated in IAs, while S100B was down-regulated and hypermethylated. The expression of the three IRGs was further validated by qRT-PCR and immunohistochemistry and mouse IA model using scRNA-seq analysis. Conclusion: The present study demonstrated heightened immune response and suppressed ECM organization in aneurysm formation and rupture. The three-gene immune-related signature (CCR4, S100B, and OSM) model may facilitate IA diagnosis and prevention. © 2023, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Bioinformatics; Immunity; Intracranial aneurysm; Methylation; WGCNA","Aneurysm, Ruptured; Animals; Biomarkers; Intracranial Aneurysm; Mice; Multiomics; chemokine receptor CXCR4; interleukin 17; messenger RNA; microRNA; protein S100B; biological marker; Article; B lymphocyte; CD4+ T lymphocyte; cell infiltration; complement activation; controlled study; diagnostic test accuracy study; diagnostic value; disease exacerbation; extracellular matrix; gene expression; gene expression profiling; human; human tissue; humoral immunity; immune-related gene; immunocompetent cell; immunohistochemistry; intracranial aneurysm; least absolute shrinkage and selection operator; lymphocyte; machine learning; macrophage; mast cell; memory T lymphocyte; monocyte; multiomics; NETosis; OSM gene; phagocytosis; real time polymerase chain reaction; single cell RNA seq; Th17 cell; unruptured intracranial aneurysm; upregulation; weighted gene co expression network analysis; aneurysm rupture; animal; genetics; intracranial aneurysm; mouse; multiomics","Springer Science and Business Media Deutschland GmbH","English","Article","Final","Scopus"
"Seyed C.; Kebe M.; Arby M.E.M.E.; Mahmoud E.B.M.; Seyidi C.M.M.","Seyed, Cheikhane (57190401501); Kebe, Mbaye (57202789418); Arby, Mohamed El Moustapha El (58852554500); Mahmoud, El Benany Mohamed (57214111141); Seyidi, Cheikhne Mohamed Mahmoud (58592679100)","57190401501; 57202789418; 58852554500; 57214111141; 58592679100","Cybersecurity Mechanism for Automatic Detection of IoT Intrusions Using Machine Learning","2024","Journal of Computer Science","20","1","","44","51","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183541451&doi=10.3844%2fjcssp.2024.44.51&partnerID=40&md5=21edd354397706e2f082c8831a19d339","This article proposes an ML-based cyber security mechanism to optimize intrusion detection that attacks internet objects (IoT). Our approach consists of bringing together several learning methods namely supervised learning, unsupervised learning and reinforcement learning within the same Canvas. The objective is to choose among them the most optimal for classifying and predicting attacks while minimizing the impact linked to the learning costs of these attacks. In our proposed model, we have used a modular design to facilitate the implementation of the intrusion detection engine. The first Meta-learning module is used to collect metadata related to existing algorithmic parameters and learning methods in ML. As for the second module, it allows the use of a cost-sensitive learning technique so that the model is informed of the cost of intrusion detection scenarios. Therefore, among the ML classification algorithms, we choose the one whose automatic learning of intrusions is the least expensive in terms of its speed and its quality in predicting reality. This will make it possible to control the level of acceptable risk in relation to the typology of cyber-attacks. We then simulated our solution using the Weka tool. This led to questionable results, which can be subject to the evaluation of model performance. These results show that the classification quality rate is 93.66% and the classification consistency rate is 0.882 (close to unit 1). This proves the accuracy and performance of the model. © 2024 Cheikhane Seyed, MBaye Kebe, Mohamed El Moustapha El Arby, El Benany Mohamed Mahmoud and Cheikhne Mohamed Mahmoud Seyidi. This open-access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license. All Rights Reserved.","Cyber Security; IA; IoT; Machine Learning; Performance Evaluation; Weka Tools","","Science Publications","English","Article","Final","Scopus"
"Kamble K.S.; Sengupta J.","Kamble, Kranti S. (57386764600); Sengupta, Joydeep (55596935200)","57386764600; 55596935200","EVNCERS: An Integrated Eigenvector Centrality-Variational Nonlinear Chirp Mode Decomposition-Based EEG Rhythm Separation for Automatic Emotion Recognition","2023","IEEE Sensors Journal","23","18","","21661","21669","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168721476&doi=10.1109%2fJSEN.2023.3304891&partnerID=40&md5=48f64dfb8524cd6fdb61941efdbdf530","Affective computing, which focuses on identifying emotions from physiological data, namely electroencephalography (EEG) is becoming increasingly significant. However, direct analysis of EEG is highly challenging due to its nonlinear and nonstationary character. Various EEG rhythms provide a reliable method for the automatic recognition of emotions. Therefore, an integrated eigenvector centrality-variational nonlinear chirp mode decomposition-based EEG rhythm separation (EVNCERS) is developed. For selecting the dominant channels, the eigenvector centrality method (EVCM) is used followed by variational nonlinear chirp mode decomposition (VNCMD) to retrieve the instantaneous frequency (IF) and instantaneous amplitude (IA) from EEG signals. The equivalent IA and IF are used to create the delta, theta, alpha, beta, and gamma rhythms. The rhythms are analyzed over several entropy-based features, chosen using statistical analysis [mean and standard deviation (STD)], then categorized using various machine-learning methods. The proposed EVNCERS has achieved the highest performance of accuracy and F1-score for arousal: (96.86%, 97.98%), valence: (96.87%, 97.82%), and dominance: (96.81%, 97.71%) using random rotation forest classifier. The performance revealed that the delta rhythm offered more insight into automatic emotion recognition. The DREAMER dataset results demonstrate that our model has the highest predictive ability, with area-under-the-curve (AUC) values of 0.98 for arousal and dominance and 0.99 for the valence category. The SEED dataset also shows a similar trend, with the delta rhythm achieving the highest accuracy of 87.25% and F1-score of 74.54%. The proposed EVNCERS model can help in real-time situations to automatically recognize affective emotions, which would give us a greater range of emotional states.  © 2023 IEEE.","Affective emotion recognition; channel selection; eigenvector centrality method (EVCM); electroencephalography (EEG); machine learning (ML) models; rhythms separation; variational nonlinear chirp mode decomposition","Biomedical signal processing; Eigenvalues and eigenfunctions; Electroencephalography; Electrophysiology; Emotion Recognition; Learning algorithms; Machine learning; Nonlinear analysis; Speech recognition; Affective emotion recognition; Channel selection; Eigenvector centralities; Eigenvector centrality method; Emotion recognition; Linear chirp; Machine learning models; Mode decomposition; Non linear; Rhythm separation; Variational non-linear chirp mode decomposition; Mode decomposition","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","Scopus"
"Du W.; Qiu T.; Liu H.; Liu A.; Wu Z.; Sun X.; Qin Y.; Su W.; Huang Z.; Yun T.; Jiao W.","Du, Wenxing (57206730654); Qiu, Tong (55628626400); Liu, Hanqun (58964385000); Liu, Ao (57206729758); Wu, Zhe (57718215000); Sun, Xiao (57206363024); Qin, Yi (57195236168); Su, Wenhao (57214718936); Huang, Zhangfeng (57214727965); Yun, Tianxiang (57222638600); Jiao, Wenjie (13406518200)","57206730654; 55628626400; 58964385000; 57206729758; 57718215000; 57206363024; 57195236168; 57214718936; 57214727965; 57222638600; 13406518200","The predictive value of serum tumor markers for EGFR mutation in non-small cell lung cancer patients with non-stage IA","2024","Heliyon","10","9","e29605","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191340843&doi=10.1016%2fj.heliyon.2024.e29605&partnerID=40&md5=5fb5908c6654de4e77f17918eb8f055d","Objective: The predictive value of serum tumor markers (STMs) in assessing epidermal growth factor receptor (EGFR) mutations among patients with non-small cell lung cancer (NSCLC), particularly those with non-stage IA, remains poorly understood. The objective of this study is to construct a predictive model comprising STMs and additional clinical characteristics, aiming to achieve precise prediction of EGFR mutations through noninvasive means. Materials and methods: We retrospectively collected 6711 NSCLC patients who underwent EGFR gene testing. Ultimately, 3221 stage IA patients and 1442 non-stage IA patients were analyzed to evaluate the potential predictive value of several clinical characteristics and STMs for EGFR mutations. Results: EGFR mutations were detected in 3866 patients (57.9 %) of all NSCLC patients. None of the STMs emerged as significant predictor for predicting EGFR mutations in stage IA patients. Patients with non-stage IA were divided into the study group (n = 1043) and validation group (n = 399). In the study group, univariate analysis revealed significant associations between EGFR mutations and the STMs (carcinoembryonic antigen (CEA), squamous cell carcinoma antigen (SCC), and cytokeratin-19 fragment (CYFRA21-1)). The nomogram incorporating CEA, CYFRA 21-1, pathology, gender, and smoking history for predicting EGFR mutations with non-stage IA was constructed using the results of multivariate analysis. The area under the curve (AUC = 0.780) and decision curve analysis demonstrated favorable predictive performance and clinical utility of nomogram. Additionally, the Random Forest model also demonstrated the highest average C-index of 0.793 among the eight machine learning algorithms, showcasing superior predictive efficiency. Conclusion: CYFRA21-1 and CEA have been identified as crucial factors for predicting EGFR mutations in non-stage IA NSCLC patients. The nomogram and 8 machine learning models that combined STMs with other clinical factors could effectively predict the probability of EGFR mutations. © 2024","Epidermal growth factor receptor; Lung cancer; Machine learning; Nomogram model; Serum tumor markers","","Elsevier Ltd","English","Article","Final","Scopus"
"Maimaiti A.; Turhon M.; Abulaiti A.; Dilixiati Y.; Zhang F.; Axieer A.; Kadeer K.; Zhang Y.; Maimaitili A.; Yang X.","Maimaiti, Aierpati (57221521469); Turhon, Mirzat (57558415200); Abulaiti, Aimitaji (57970338800); Dilixiati, Yilidanna (58247560100); Zhang, Fujunhui (58197549800); Axieer, Aximujiang (58611902000); Kadeer, Kaheerman (56611960400); Zhang, Yisen (35279003100); Maimaitili, Aisha (55659645600); Yang, Xinjian (58480574500)","57221521469; 57558415200; 57970338800; 58247560100; 58197549800; 58611902000; 56611960400; 35279003100; 55659645600; 58480574500","DNA methylation regulator-mediated modification patterns and risk of intracranial aneurysm: a multi-omics and epigenome-wide association study integrating machine learning, Mendelian randomization, eQTL and mQTL data","2023","Journal of Translational Medicine","21","1","660","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171893297&doi=10.1186%2fs12967-023-04512-w&partnerID=40&md5=ecda4435c50d6867f23a39c06ebdb370","Background: Intracranial aneurysms (IAs) pose a significant and intricate challenge. Elucidating the interplay between DNA methylation and IA pathogenesis is paramount to identify potential biomarkers and therapeutic interventions. Methods: We employed a comprehensive bioinformatics investigation of DNA methylation in IA, utilizing a transcriptomics-based methodology that encompassed 100 machine learning algorithms, genome-wide association studies (GWAS), Mendelian randomization (MR), and summary-data-based Mendelian randomization (SMR). Our sophisticated analytical strategy allowed for a systematic assessment of differentially methylated genes and their implications on the onset, progression, and rupture of IA. Results: We identified DNA methylation-related genes (MRGs) and associated molecular pathways, and the MR and SMR analyses provided evidence for potential causal links between the observed DNA methylation events and IA predisposition. Conclusion: These insights not only augment our understanding of the molecular underpinnings of IA but also underscore potential novel biomarkers and therapeutic avenues. Although our study faces inherent limitations and hurdles, it represents a groundbreaking initiative in deciphering the intricate relationship between genetic, epigenetic, and environmental factors implicated in IA pathogenesis. Graphical Abstract: [Figure not available: see fulltext.] © 2023, BioMed Central Ltd., part of Springer Nature.","DNA methylation regulator; Genome-wide association studies; Intracranial aneurysms; Machine learning; Mendelian randomization; Multi-omics","DNA Methylation; Epigenome; Genome-Wide Association Study; Humans; Intracranial Aneurysm; Machine Learning; Mendelian Randomization Analysis; Multiomics; DNA; algorithm; Article; bioinformatics; causality; cell infiltration; diagnostic procedure; disease exacerbation; disease predisposition; DNA methylation; expression quantitative trait locus; gene expression; gene targeting; genetic association; genetic variation; genome-wide association study; human; immunity; intracranial aneurysm; machine learning; Mendelian randomization analysis; multiomics; nomogram; nonhuman; onset age; prediction; regulatory mechanism; signal transduction; single cell analysis; transcriptomics; validation study; DNA methylation; epigenome; genetics; multiomics","BioMed Central Ltd","English","Article","Final","Scopus"
"Alfwzan W.F.; Alballa T.; Al-Dayel I.A.; Selim M.M.","Alfwzan, Wafa F. (57278361000); Alballa, Tmader (57226340155); Al-Dayel, Ibrahim A. (57210289746); Selim, Mahmoud M. (56697933400)","57278361000; 57226340155; 57210289746; 56697933400","Asphalt pavement patch identification with image features based on statistical properties using machine learning","2024","Neural Computing and Applications","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185687089&doi=10.1007%2fs00521-024-09586-1&partnerID=40&md5=fe86d65fbabece9d854e607b5d68ddb2","Finding patches is a crucial step in a pavement performance survey. The study develops a machine learning and image processing algorithm-established automatic method for identifying asphalt pavement patches. The GrayLevel Co-Occurrence Matrix and image texture-based features derived from color channel statistics are used as input parameters to describe the condition of the pavement. For feature extraction, image processing methods like the projective integral of images, steerable filters, and an improved image thresholding method were used. Support Vector Machine is employed for categorizing the differentiating patched regions from non-patch ones. The suggested combination of image texture analytical methods has been trained using an IA data set created from 400 image samples. The feature set, which combines the characteristics of cracked objects with those generated from the projective integral, can produce the desired result. To make the model’s execution simpler, a patch recognition program was created and implemented in MATLAB. As a result, the recently created method has the potential to be an instrument for traffic management organizations through the assessment of pavement performance. The results of the experiments indicate that the newly developed method may achieve excellent accuracy prediction results with a classifier performance rate of about 96%. Such a method could enable transportation authorities to assess the state of asphalt pavement. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.","Asphalt pavement patch; Image processing; Machine learning; Statistical features; Support vector machine","Asphalt; Asphalt pavements; Image enhancement; Image texture; MATLAB; Textures; Asphalt pavement patch; Feature-based; Image features; Image processing algorithm; Images processing; Machine-learning; Pavement performance; Statistical features; Statistical properties; Support vectors machine; Support vector machines","Springer Science and Business Media Deutschland GmbH","English","Article","Article in press","Scopus"
"Wu B.; Gu Z.; Zhang W.; Fu Q.; Zeng M.; Li A.","Wu, Bingxiao (57215896236); Gu, Zhujun (57872443100); Zhang, Wuming (55576725800); Fu, Qinghua (57195329741); Zeng, Maimai (57952866000); Li, Aiguang (57951768300)","57215896236; 57872443100; 55576725800; 57195329741; 57952866000; 57951768300","Investigator accuracy: A center-weighted metric for evaluating the location accuracy of image segments in land cover classification","2023","International Journal of Applied Earth Observation and Geoinformation","122","","103402","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163561461&doi=10.1016%2fj.jag.2023.103402&partnerID=40&md5=432f327abf2b41e7c38dd18bcfd3b8ad","Accuracy evaluation is an essential step in validating image segmentation results. Existing metrics, such as overall accuracy and F1-score, mainly concern the range and consistency of the semantic labels of image segments, which may not be sufficiently sensitive to detect missing or segmentation errors in small patches. To address this issue, this study proposes the investigator accuracy (IA) metric, which focuses on the location accuracy of single patches by evaluating the capture accuracy of their near-center subregions and category weight to determine the image segmentation quality. Before evaluating the IA metric, we optimize the grayscale dilation algorithm to separate each identified patch from the image without converting the data format and then distinguish each patch as embedded or nonembedded. Next, we use an iterative grayscale erosion approach to assess the distance-to-center weight, which is a crucial parameter for evaluating the IA of each pixel in a single patch. In addition, we apply a parallel analysis scheme to improve the efficiency of the IA evaluation. The results indicate that the capture accuracy of near-center subregions and the category weight of a single patch affect its IA. Unlike commonly used metrics, the IA is independent of the area ratio and the number of patches belonging to multiple landcover types. The output of the intermediate analysis steps can be used to produce thematic maps showing the distribution density of target patches. © 2023 The Authors","Accuracy evaluation; Digital image processing; Image segmentation; Location accuracy; Machine learning models","accuracy assessment; algorithm; classification; digital image; image processing; land cover; machine learning; pixel","Elsevier B.V.","English","Article","Final","Scopus"
"Diez-Gracia A.; Sánchez-García P.; Martín-Román J.","Diez-Gracia, Alba (57427907600); Sánchez-García, Pilar (56041127200); Martín-Román, Javier (58862656900)","57427907600; 56041127200; 58862656900","Disintermediation and disinformation as a political strategy: use of AI to analyze fake news as Trump’s rhetorical resource on Twitter; [Desintermediación y desinformación como estrategia política: uso de IA para analizar las fake news como recurso retórico de Trump en Twitter]","2023","Profesional de la Informacion","32","5","e320523","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175184058&doi=10.3145%2fepi.2023.sep.23&partnerID=40&md5=618efe18da58848cb40902da237f3134","The communicative effects of disintermediation caused by social media promote the expansion of personalist and emotional political discourses that reach the audience directly and evade the traditional journalistic filter. This phenomenon leads to new political communication tactics, but also exposes citizens to potentially fraudulent, contaminated or pola-rised content. In this context, framed in post-truth, the term fake news gains relevance as a way of referring to disinformation and as a political and performative argument that can be weaponised. This research aims to analyse such use in the discourse of the former president Donald Trump during his presidential term (2017-2021), focussing on Twitter as the main platform in his political communication strategy online. To analyse this, we resort to a methodological triangulation of content, discourse, and sentiment analysis, with the latter combining both lexicon and artificial intelligence (AI) techniques through machine learning on the basis of deep learning and natural language processing, which is applied to his messages published with the term fake news (N = 768). The analysis of the sample, provided here in an open dataset, employs self-developed software that allows each unit of analysis to be filtered and coded around its predominant themes, sentiments, and words. The main results confirm that Trump’s attribution of fake news focusses on three main topics: the media (53%), politics (40%) and his cabinet (33%). It also shows how the former president resorts to a personalist agenda, focussed on the defence of his proposals and his team (80%) by delegitimizing his opponents and the press, with a negative tone (72%) loaded with derogatory terms, confirming a weaponised strategy of the term ‘fake news’ as a political argument of disinformation and disintermediation. © 2023, El Profesional de la Informacion. All rights reserved.","AI; Artificial Intelligence; Deep learning; Discourse analysis; Disinformation; Disintermediation; Donald Trump; Fake news; Machine learning; Natural language processing; Political communication; Political personalization; Political strategy; Sentiment analysis; Social networks; Twitter","","El Profesional de la Informacion","Spanish","Article","Final","Scopus"
"Wang P.; Bi X.; Zhang G.; Yu M.","Wang, Ping (58404097700); Bi, Xu (57194785810); Zhang, Guisheng (55739006300); Yu, Mengjiao (57910982600)","58404097700; 57194785810; 55739006300; 57910982600","A new hybrid PM 2.5 volatility forecasting model based on EMD and machine learning algorithms","2023","Environmental Science and Pollution Research","30","34","","82878","82894","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162082955&doi=10.1007%2fs11356-023-26834-4&partnerID=40&md5=5db111af580df670bc23a1812ca69922","In recent years, the frequent occurrence of air pollution incidents has seriously affected people’s health and life. Therefore, PM 2.5 , as the main pollutant, is an important research object of air pollution at present. Effectively improving the prediction accuracy of PM 2.5 volatility makes the PM 2.5 prediction content perfect, which is an important aspect of PM 2.5 concentration research. The volatility series has an inherent complex function law, which drives the volatility movement. When machine learning algorithms such as LSTM (Long Short-Term Memory Network) and SVM (Support Vector Machine) are used for volatility analysis, a high-order nonlinear form is used to fit the functional law of the volatility series, but the time-frequency information of the volatility has not been utilized. Based on EMD (Empirical Mode Decomposition) technique, GARCH (Generalized AutoRegressive Conditional Heteroskedasticity) model and machine learning algorithms, a new hybrid PM 2.5 volatility prediction model is proposed in this study. This model realizes time-frequency characteristic extraction of volatility series through EMD technology, and integrates residual and historical volatility information through GARCH model. The simulation results of the proposed model are verified by comparing the samples of 54 cities in North China with the benchmark models. The experimental results in Beijing showed that MAE (mean absolute deviation) of hybrid-LSTM decreased from 0.00875 to 0.00718 compared with LSTM, and hybrid-SVM based on the basic model SVM also significantly improved generalization ability, and its IA (index of agreement) improved from 0.846707 to 0.96595, showing the best performance. The experimental results show that the hybrid model is superior to other considered models in terms of prediction accuracy and stability, which verifies that the hybrid system modeling method is suitable for PM 2.5 volatility analysis. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Empirical Mode Decomposition (EMD); Hybrid volatility forecasting model; Long Short-Term Memory Network (LSTM); PM <sub>2.5</sub> volatility forecasting; Support Vector Machine (SVM)","Air Pollutants; Air Pollution; Algorithms; Beijing; Forecasting; Humans; Machine Learning; Beijing [China]; China; algorithm; atmospheric pollution; decomposition analysis; forecasting method; machine learning; particulate matter; prediction; support vector machine; air pollutant; air pollution; algorithm; China; forecasting; human; machine learning","Springer Science and Business Media Deutschland GmbH","English","Article","Final","Scopus"
"de Oliveira F.M.F.; dos Santos M.V.; Reis R.R.R.","de Oliveira, Felipe M.F. (57996767800); dos Santos, Marcelo Vargas (57226339491); Reis, Ribamar R.R. (7103370495)","57996767800; 57226339491; 7103370495","Data-driven photometric redshift estimation from type Ia supernovae light curves","2023","Monthly Notices of the Royal Astronomical Society","518","2","","2385","2397","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159608063&doi=10.1093%2fmnras%2fstac3202&partnerID=40&md5=fca9625cd694110db85d9507daa411cd","Redshift measurement has always been a constant need in modern astronomy and cosmology. And as new surveys have been providing an immense amount of data on astronomical objects, the need to process such data automatically proves to be increasingly necessary. In this article, we use simulated data from the Dark Energy Survey, and from a pipeline originally created to classify supernovae, we developed a linear regression algorithm optimized through novel automated machine learning (AutoML) frameworks achieving an error score better than ordinary data pre-processing methods when compared with other modern algorithms (such as XGBOOST). Numerically, the photometric prediction RMSE of type Ia supernovae events was reduced from 0.16 to 0.09 and the RMSE of all supernovae types decreased from 0.20 to 0.14. Our pipeline consists of four steps: through spectroscopic data points we interpolate the light curve using Gaussian process fitting algorithm, then using a wavelet transform we extract the most important features of such curves; in sequence we reduce the dimensionality of such features through principal component analysis, and in the end we applied super learning techniques (stacked ensemble methods) through an AutoML framework dedicated to optimize the parameters of several different machine learning models, better resolving the problem. As a final check, we obtained probability distribution functions (PDFs) using Gaussian kernel density estimations through the predictions of more than 50 models trained and optimized by AutoML. Those PDFs were calculated to replicate the original curves that used SALT2 model, a model used for the simulation of the raw data itself. © 2022 The Author(s) Published by Oxford University Press on behalf of Royal Astronomical Society.","cosmology: miscellaneous; cosmology: observations; software: data analysis; techniques: photometric; transients: supernovae","Cosmology; Curve fitting; Data handling; Distribution functions; Learning algorithms; Machine learning; Photometry; Pipelines; Principal component analysis; Spectroscopic analysis; Wavelet transforms; Automated machines; Cosmology observations; Cosmology: miscellaneous; Light curves; Machine-learning; Photometrics; Software data; Software: data analyse; Techniques: photometric; Transient: supernova; Supernovae","Oxford University Press","English","Article","Final","Scopus"
